,latitude,longitude,message_type,time,device.device_type,device.id,payload.bssid,payload.downSpeed,payload.info_type,payload.signal.rssi,payload.ssid,payload.upSpeed
46,50.6825305,10.939844,wifi,2020-03-03 11:05:44.305,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,248.0,test,-77,"""ap""",113.0
47,50.6825305,10.939844,wifi,2020-03-03 11:06:07.113,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,120.0,test,-77,"""ap""",72.0
48,50.68229875,10.94060833,wifi,2020-03-03 11:10:12.466,handy,f072f812f48ce468,00:c0:ca:61:62:08,233.0,test,-81,"""ap2""",32.0
49,50.6825305,10.939844,wifi,2020-03-03 11:06:36.820,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,186.0,test,-77,"""ap""",48.0
50,50.6823723,10.939872,wifi,2020-03-03 11:10:37.491,handy,abb76773bdee4fa0,00:c0:ca:61:61:e4,0.0,test,-69,"""ap""",0.0
51,50.6823723,10.9398722,wifi,2020-03-03 11:10:46.688,handy,abb76773bdee4fa0,00:c0:ca:61:61:e4,0.0,test,-68,"""ap""",0.0
52,50.6825305,10.939844,wifi,2020-03-03 11:06:56.819,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,266.0,test,-77,"""ap""",65.0
53,50.6821149,10.9402821,wifi,2020-03-03 11:08:48.150,handy,51336504999bc1ca,00:c0:ca:61:61:e4,29.0,test,-82,ap,0.0
54,50.6820616,10.9404396,wifi,2020-03-03 11:11:05.058,handy,51336504999bc1ca,00:c0:ca:61:61:e4,90.0,test,-78,ap,149.0
55,50.6823723,10.9398722,wifi,2020-03-03 11:11:20.373,handy,abb76773bdee4fa0,00:c0:ca:61:61:e4,87.0,test,-66,"""ap""",155.0
56,50.6820616,10.9404396,wifi,2020-03-03 11:11:24.940,handy,51336504999bc1ca,00:c0:ca:61:61:e4,105.0,test,-79,ap,110.0
57,50.68243441556138,10.940345362355965,wifi,2020-03-03 11:11:31.983,handy,b1c225280d0ed13f,00:c0:ca:61:61:e4,141.0,test,-76,"""ap""",61035.0
58,50.6820616,10.9404396,wifi,2020-03-03 11:11:41.218,handy,51336504999bc1ca,00:c0:ca:61:61:e4,135.0,test,-74,ap,196.0
59,50.6825305,10.939844,wifi,2020-03-03 11:08:12.187,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,79.0,test,-77,"""ap""",20.0
60,50.6825305,10.939844,wifi,2020-03-03 11:08:31.752,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,204.0,test,-75,"""ap""",94.0
61,50.6825305,10.939844,wifi,2020-03-03 11:08:50.856,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,197.0,test,-78,"""ap""",99.0
62,50.6825305,10.939844,wifi,2020-03-03 11:09:03.620,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,237.0,test,-80,"""ap""",142.0
63,50.6825305,10.939844,wifi,2020-03-03 11:09:19.454,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,150.0,test,-79,"""ap""",135.0
64,50.6825305,10.939844,wifi,2020-03-03 11:09:32.789,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,259.0,test,-79,"""ap""",117.0
65,50.6825305,10.939844,wifi,2020-03-03 11:09:45.347,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,252.0,test,-79,"""ap""",165.0
66,50.6825305,10.939844,wifi,2020-03-03 11:09:51.315,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,267.0,test,-79,"""ap""",590.0
67,50.6825305,10.939844,wifi,2020-03-03 11:09:58.958,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,256.0,test,-79,"""ap""",301.0
68,50.6825305,10.939844,wifi,2020-03-03 11:10:28.789,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,132.0,test,-78,"""ap""",45.0
69,50.6823711,10.9398709,wifi,2020-03-03 11:14:44.381,handy,abb76773bdee4fa0,00:c0:ca:61:61:e4,100.0,test,-57,"""ap""",243.0
70,50.68229875,10.94060833,wifi,2020-03-03 11:14:42.711,handy,f072f812f48ce468,00:c0:ca:61:62:08,16.0,test,-81,"""ap2""",0.0
71,50.68243441556138,10.940345362355965,wifi,2020-03-03 11:15:10.782,handy,b1c225280d0ed13f,00:c0:ca:61:61:e4,151.0,test,-61,"""ap""",46502.0
72,50.6820614,10.940443,wifi,2020-03-03 11:15:25.208,handy,51336504999bc1ca,00:c0:ca:61:61:e4,67.0,test,-64,ap,133.0
73,50.6820616,10.9404395,wifi,2020-03-03 11:12:41.839,handy,27349a2cde6592df,00:c0:ca:61:62:08,0.0,test,-82,ap2,0.0
74,50.6820606,10.9404406,wifi,2020-03-03 11:15:26.252,handy,27349a2cde6592df,00:c0:ca:61:62:08,394.0,test,-64,ap2,59.0
75,50.6825305,10.939844,wifi,2020-03-03 11:11:55.191,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,51.0,test,-78,"""ap""",15.0
76,50.6820606,10.9404406,wifi,2020-03-03 11:16:33.795,handy,27349a2cde6592df,00:c0:ca:61:62:08,88.0,test,-64,ap2,89.0
77,50.6825305,10.939844,wifi,2020-03-03 11:13:41.173,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,87.0,test,-81,"""ap""",123.0
78,50.6825305,10.939844,wifi,2020-03-03 11:14:43.927,handy,eb0b54819c69cf0c,00:c0:ca:61:61:e4,46.0,test,-79,"""ap""",37.0
79,50.68229875,10.94060833,wifi,2020-03-03 11:18:37.799,handy,f072f812f48ce468,00:c0:ca:61:62:08,32.0,test,-81,"""ap2""",37.0
80,50.6820616,10.9404396,wifi,2020-03-03 11:19:16.119,handy,27349a2cde6592df,00:c0:ca:61:62:08,624.0,test,-66,ap2,882.0
81,50.68229875,10.94060833,wifi,2020-03-03 11:19:22.611,handy,f072f812f48ce468,00:c0:ca:61:62:08,346.0,test,-81,"""ap2""",2295.0
82,50.68229875,10.94060833,wifi,2020-03-03 11:20:04.974,handy,f072f812f48ce468,00:c0:ca:61:62:08,647.0,test,-81,"""ap2""",6248.0
83,50.68229875,10.94060833,wifi,2020-03-03 11:20:48.197,handy,f072f812f48ce468,00:c0:ca:61:62:08,556.0,test,-83,"""ap2""",5961.0
84,50.6822983,10.94059976,wifi,2020-03-03 11:21:33.506,handy,f072f812f48ce468,00:c0:ca:61:62:08,397.0,test,-78,"""ap2""",674.0
85,50.68229932,10.94059859,wifi,2020-03-03 11:22:16.253,handy,f072f812f48ce468,00:c0:ca:61:62:08,619.0,test,-78,"""ap2""",2070.0
86,50.68229932,10.94059859,wifi,2020-03-03 11:22:59.322,handy,f072f812f48ce468,00:c0:ca:61:62:08,608.0,test,-78,"""ap2""",1622.0
87,50.68230028,10.94059725,wifi,2020-03-03 11:23:42.366,handy,f072f812f48ce468,00:c0:ca:61:62:08,645.0,test,-83,"""ap2""",10500.0
